Geneid,Chr,Length,reads
28S_rRNA,JARKHS020002075.1;JARKHS020002338.1;JARKHS020002338.1;JARKHS020002338.1;JARKHS020002338.1;JARKHS020002338.1;JARKHS020002357.1;JARKHS020002357.1;JARKHS020006092.1;JARKHS020010129.1;JARKHS020010129.1;JARKHS020013657.1;JARKHS020013657.1;JARKHS020013935.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020016967.1;JARKHS020017939.1;JARKHS020019279.1;JARKHS020019364.1;JARKHS020019364.1;JARKHS020019926.1;JARKHS020019926.1;JARKHS020021209.1;JARKHS020024007.1;JARKHS020024007.1;JARKHS020024007.1;JARKHS020024007.1;JARKHS020024007.1;JARKHS020024007.1;JARKHS020024898.1;JARKHS020025391.1;JARKHS020025391.1;JARKHS020025414.1;JARKHS020025942.1;JARKHS020025943.1;JARKHS020025943.1;JARKHS020025943.1;JARKHS020025943.1;JARKHS020025944.1;JARKHS020026842.1;JARKHS020026842.1;JARKHS020026842.1;JARKHS020026842.1;JARKHS020026842.1;JARKHS020026842.1;JARKHS020027166.1;JARKHS020029335.1;JARKHS020030510.1;JARKHS020030510.1;JARKHS020030510.1;JARKHS020030510.1;JARKHS020030510.1;JARKHS020031526.1;JARKHS020031985.1;JARKHS020031985.1;JARKHS020032189.1;JARKHS020032256.1;JARKHS020033234.1;JARKHS020033259.1;JARKHS020035581.1;JARKHS020035581.1;JARKHS020035581.1;JARKHS020035686.1;JARKHS020035711.1;JARKHS020035779.1;JARKHS020035779.1;JARKHS020035779.1;JARKHS020035779.1;JARKHS020035873.1;JARKHS020035873.1,143163,3661598
18S_rRNA,JARKHS020003887.1;JARKHS020006090.1;JARKHS020006092.1;JARKHS020011411.1;JARKHS020011411.1;JARKHS020013657.1;JARKHS020013657.1;JARKHS020013657.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020019443.1;JARKHS020019926.1;JARKHS020019926.1;JARKHS020020169.1;JARKHS020024007.1;JARKHS020024007.1;JARKHS020024007.1;JARKHS020025391.1;JARKHS020025943.1;JARKHS020025943.1;JARKHS020026842.1;JARKHS020026842.1;JARKHS020026842.1;JARKHS020026842.1;JARKHS020027548.1;JARKHS020030510.1;JARKHS020030510.1;JARKHS020032644.1;JARKHS020033610.1;JARKHS020033636.1;JARKHS020035581.1;JARKHS020035581.1;JARKHS020035686.1;JARKHS020035779.1;JARKHS020036797.1,51834,318064
5_8S_rRNA,JARKHS020000525.1;JARKHS020003385.1;JARKHS020003470.1;JARKHS020003887.1;JARKHS020005564.1;JARKHS020006090.1;JARKHS020007249.1;JARKHS020009883.1;JARKHS020010129.1;JARKHS020011081.1;JARKHS020011193.1;JARKHS020012974.1;JARKHS020013657.1;JARKHS020013657.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020015531.1;JARKHS020019364.1;JARKHS020019926.1;JARKHS020019926.1;JARKHS020024007.1;JARKHS020024007.1;JARKHS020025943.1;JARKHS020025943.1;JARKHS020026842.1;JARKHS020026842.1;JARKHS020026842.1;JARKHS020026842.1;JARKHS020030510.1;JARKHS020030510.1;JARKHS020035581.1;JARKHS020035581.1;JARKHS020035779.1,4841,2907
5S_rRNA,JARKHS020000746.1;JARKHS020002819.1;JARKHS020003734.1;JARKHS020008340.1;JARKHS020008344.1;JARKHS020008344.1;JARKHS020008344.1;JARKHS020008344.1;JARKHS020008344.1;JARKHS020008344.1;JARKHS020008344.1;JARKHS020008344.1;JARKHS020008344.1;JARKHS020008344.1;JARKHS020008344.1;JARKHS020008344.1;JARKHS020008369.1;JARKHS020009651.1;JARKHS020009733.1;JARKHS020009861.1;JARKHS020010166.1;JARKHS020010474.1;JARKHS020015020.1;JARKHS020015793.1;JARKHS020015793.1;JARKHS020015793.1;JARKHS020018434.1;JARKHS020018862.1;JARKHS020018942.1;JARKHS020020298.1;JARKHS020020927.1;JARKHS020021593.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020024856.1;JARKHS020025020.1;JARKHS020025039.1;JARKHS020030727.1;JARKHS020030727.1;JARKHS020030727.1;JARKHS020032444.1;JARKHS020032444.1;JARKHS020032659.1;JARKHS020032659.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020034131.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035207.1;JARKHS020035384.1;JARKHS020035812.1,23250,0
