scaffold,length,reads,percent_coverage
JARKHS020015531.1,139992,8747790,53.86462401
JARKHS020019926.1,29433,741688,4.56695294
JARKHS020035581.1,70251,710810,4.376821277
JARKHS020002338.1,56288,691519,4.258036708
JARKHS020035779.1,68114,503779,3.10202536
JARKHS020024007.1,90043,401894,2.474667225
JARKHS020030510.1,117882,378407,2.330045735
JARKHS020025943.1,58624,376046,2.315507849
JARKHS020031985.1,49841,344611,2.121946451
JARKHS020010129.1,37023,304436,1.874568397
